"","Genes","log2FC","menoslog10p","pvalue"
"1","EHI_103400A",3.178477485,6.03058408764602,9.32e-07
"2","EHI_181610A",2.133143362,5.82102305270683,1.51e-06
"3","EHI_057550A",2.011309239,5.23732143627256,5.79e-06
"4","EHI_018630A",4.307732659,4.15428198203334,7.01e-05
"5","EHI_000640A",2.704687922,3.95006133650328,0.000112186
"6","EHI_050640A",3.912979896,3.90253444552584,0.00012516
"7","EHI_049360A",2.626714313,3.78478292504242,0.000164141
"8","EHI_025380A",2.611177961,3.45527356818634,0.000350531
"9","EHI_178640A",3.629796897,3.30932380258097,0.000490542
"10","EHI_178770A",2.444628633,3.2928737122897,0.000509479
"11","EHI_189880A",2.478855671,3.26425343335194,0.000544185
"12","EHI_195110A",13.19693258,3.22287634699835,0.000598582
"13","EHI_087760A",2.030294789,3.19569424495898,0.000637244
"14","EHI_166970A",2.790514838,3.166797409076,0.000681087
"15","EHI_049530A",2.904486098,3.09433577667133,0.000804756
"16","EHI_073540A",2.988251417,3.04945844514409,0.000892363
"17","EHI_098440A",1.935994661,2.91035907643763,0.001229252
"18","EHI_194060A",2.054988441,2.8073932445125,0.001558141
"19","EHI_127960A",2.36676826,2.69459896902391,0.002020231
"20","EHI_101730A",2.683978485,2.64955194207083,0.002241032
"21","EHI_146960A",2.220189164,2.64675774621394,0.002255497
"22","EHI_168450A",2.872551522,2.60160335368231,0.00250263
"23","EHI_025390A",1.829860936,2.60053534386547,0.002508792
"24","EHI_105860A",1.933772202,2.58157672553102,0.002620736
"25","EHI_069200A",2.519910996,2.57634575353987,0.002652493
"26","EHI_142260A",2.195635492,2.57325181186588,0.002671457
"27","EHI_062540A",1.967273561,2.49263494251051,0.003216363
"28","EHI_088600A",11.04253338,2.39059140612043,0.004068259
"29","EHI_189960A",2.072048802,2.38527991103639,0.00411832
"30","EHI_016390A",2.001555383,2.32437387131214,0.004738339
"31","EHI_141220A",2.52194512,2.25597855536206,0.005546531
"32","EHI_058110A",2.322198285,2.23283745251565,0.00585009
"33","EHI_068430A",1.960389349,2.22952385248993,0.005894896
"34","EHI_117270A",2.440519269,2.19106888474936,0.006440671
"35","EHI_048280A",2.004897094,2.17876089089911,0.006625812
"36","EHI_050400A",2.15078059,2.10433882332868,0.00786432
"37","EHI_078180A",2.497956421,2.07275054782197,0.008457645
"38","EHI_109820A",2.009555009,2.05765149431548,0.008756862
"39","EHI_078540A",2.111271354,2.04278351434027,0.009061842
"40","EHI_049800A",2.400787613,1.99496580758569,0.010116591
"41","EHI_130480A",1.822666803,1.97219692384965,0.010661126
"42","EHI_125860A",2.196569476,1.96939930664021,0.010730024
"43","EHI_022930A",2.174828057,1.95681037361078,0.011045608
"44","EHI_107170A",1.98129292,1.9512532097485,0.011187854
"45","EHI_179910A",1.874132402,1.90372173671786,0.01248183
"46","EHI_017570A",1.920984883,1.86547696576462,0.013630853
"47","EHI_194240A",1.891508481,1.83709501198438,0.014551407
"48","EHI_014070A",1.909789445,1.77176443238504,0.016913581
"49","EHI_125320A",1.91107943,1.76677377450755,0.017109063
"50","EHI_177370A",1.833084013,1.74633017216711,0.017933697
"51","EHI_036600A",1.849620974,1.73603503353686,0.018363902
"52","EHI_118190A",1.838664118,1.73462748414555,0.018423516
"53","EHI_113580A",2.120817258,1.72716923646422,0.01874264
"54","EHI_068140A",2.140164877,1.67217869113524,0.021272636
"55","EHI_034960A",2.377382866,1.66656393064696,0.021549444
"56","EHI_169310A",2.331059567,1.65528246136019,0.022116558
"57","EHI_148580A",2.057393279,1.64900662392847,0.022438477
"58","EHI_053850A",1.843267029,1.63224670430237,0.023321329
"59","EHI_165180A",1.901833406,1.61595512876229,0.024212792
"60","EHI_119510A",2.119729381,1.59896086673303,0.025179038
"61","EHI_065470A",2.311171801,1.59812857401292,0.025227338
"62","EHI_159450A",2.192334758,1.58190146543872,0.026187771
"63","EHI_159780A",1.881957959,1.54504945928831,0.028506936
"64","EHI_068620A",2.355393306,1.5078628585948,0.031055401
"65","EHI_113950A",1.895325603,1.45789414396764,0.034842223
"66","EHI_109930A",2.307094902,1.39665516173218,0.040118514
"67","EHI_175080A",1.9532506,1.37365323632544,0.042300623
