	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1.1	EhMyb10_2.1	EhMyb10_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_153650A	33.62203602	-1.749914871	0.594885067	-2.941601612	0.003265197	0.189381425	25	13	3	70	49	129	22.41283753	11.69882297	9.40757173	41.37969584	46.0117699	70.82151818	81.06	UP_pEhEx_DOWN_EhMyb10
EHI_088600A	110.0814711	11.04253338	3.843795894	2.872819913	0.004068259	0.219588388	526	0	10	0	0	287	471.5661015	0	31.35857243	0	0	157.5641528	78.04	DOWN_pEhEx_UP_EhMyb10
EHI_189960A	170.5640555	2.072048802	0.722231505	2.868953772	0.00411832	0.219588388	8	14	291	10	3	150	7.172108008	12.59873243	912.5344578	5.91138512	2.817047137	82.35060253	78.04	DOWN_pEhEx_UP_EhMyb10
EHI_202460A	332.4340882	-1.609390828	0.565069127	-2.848130879	0.004397684	0.227236684	292	160	11	764	1103	122	261.7819423	143.9855135	34.49442968	451.6298231	1035.734331	66.97849006	77.28	UP_pEhEx_DOWN_EhMyb10
EHI_115710A	149.2106252	1.604989601	0.56389138	2.846274402	0.004423406	0.227236684	26	36	220	29	9	226	23.30935103	32.39674053	689.8885935	17.14301685	8.45114141	124.0749078	77.28	DOWN_pEhEx_UP_EhMyb10
EHI_124400A	347.4898051	1.601935582	0.565458594	2.832984763	0.004611558	0.233565691	20	35	546	24	10	546	17.93027002	31.49683107	1712.178055	14.18732429	9.390157123	299.7561932	76.64	DOWN_pEhEx_UP_EhMyb10
EHI_016390A	278.5987535	2.001555383	0.708689737	2.824304177	0.004738339	0.236199076	12	24	480	15	7	216	10.75816201	21.59782702	1505.211477	8.867077679	6.573109986	118.5848676	76.38	DOWN_pEhEx_UP_EhMyb10
EHI_145610A	190.8481497	1.505424422	0.533744226	2.820497811	0.00479492	0.236199076	269	545	22	238	203	24	241.1621318	490.4506553	68.98885935	140.6909658	190.6201896	13.17609641	76.38	DOWN_pEhEx_UP_EhMyb10
EHI_092720A	14.30385426	-2.268972009	0.804857063	-2.819099333	0.004815861	NA	4	5	2	15	31	61	3.586054004	4.499547296	6.271714487	8.867077679	29.10948708	33.48924503	NA	UP_pEhEx_DOWN_EhMyb10
EHI_103310A	1105.393693	-1.884636276	0.669386119	-2.815469611	0.0048706	0.236684847	1193	223	33	3240	3191	632	1069.540607	200.6798094	103.483289	1915.288779	2996.399138	346.9705387	76.33	UP_pEhEx_DOWN_EhMyb10
EHI_011800A	130.6368069	1.638858382	0.586275106	2.795374332	0.005183965	0.24855385	14	26	198	17	7	201	12.55118901	23.39764594	620.8997342	10.0493547	6.573109986	110.3498074	75.14	DOWN_pEhEx_UP_EhMyb10
EHI_069510A	62.10449606	1.669140497	0.600617453	2.779040949	0.005451965	0.257964037	9	24	79	8	4	158	8.068621509	21.59782702	247.7327222	4.729108096	3.756062849	86.74263467	74.2	DOWN_pEhEx_UP_EhMyb10
EHI_141220A	11.81815505	2.52194512	0.909316855	2.773450316	0.005546531	NA	16	16	10	11	4	1	14.34421602	14.39855135	31.35857243	6.502523632	3.756062849	0.549004017	NA	DOWN_pEhEx_UP_EhMyb10
EHI_086540A	29.48546857	-1.511806128	0.54548356	-2.771497143	0.005579916	0.260589333	24	13	4	81	46	73	21.51632402	11.69882297	12.54342897	47.88221947	43.19472276	40.07729323	73.94	UP_pEhEx_DOWN_EhMyb10
EHI_058110A	31.60663242	2.322198285	0.84257667	2.756067628	0.00585009	0.262831132	18	55	30	26	12	6	16.13724302	49.49502026	94.0757173	15.36960131	11.26818855	3.294024101	73.72	DOWN_pEhEx_UP_EhMyb10
EHI_068430A	69.63538953	1.960389349	0.71194433	2.753571126	0.005894896	0.262831132	3	10	106	2	3	127	2.689540503	8.999094593	332.4008678	1.182277024	2.817047137	69.72351015	73.72	DOWN_pEhEx_UP_EhMyb10
EHI_181520A	50.70306587	1.741081846	0.632428284	2.753010722	0.005904996	0.262831132	76	108	18	73	36	10	68.13502608	97.1902216	56.44543038	43.15311137	33.80456564	5.490040169	73.72	DOWN_pEhEx_UP_EhMyb10
EHI_099860A	102.4072031	-1.921299467	0.700118264	-2.744249887	0.006064935	0.262831132	17	18	56	117	162	339	15.24072952	16.19837027	175.6080056	69.1632059	152.1205454	186.1123617	73.72	UP_pEhEx_DOWN_EhMyb10
EHI_130730A	26.33576714	1.720870619	0.62870996	2.737145469	0.006197488	0.262831132	7	12	34	5	3	52	6.275594507	10.79891351	106.6191463	2.95569256	2.817047137	28.54820888	73.72	DOWN_pEhEx_UP_EhMyb10
EHI_117270A	179.5788275	2.440519269	0.895780879	2.724460105	0.006440671	0.26483365	331	432	65	119	5	206	296.7459688	388.7608864	203.8307208	70.34548292	4.695078561	113.0948275	73.52	DOWN_pEhEx_UP_EhMyb10
EHI_124880A	78.47457647	-1.614037139	0.592872307	-2.722402651	0.006480912	0.26483365	47	57	6	124	122	311	42.13613455	51.29483918	18.81514346	73.30117548	114.5599169	170.7402493	73.52	UP_pEhEx_DOWN_EhMyb10
EHI_048280A	14.67459754	2.004897094	0.738427972	2.715088229	0.006625812	NA	5	12	18	4	2	22	4.482567505	10.79891351	56.44543038	2.364554048	1.878031425	12.07808837	NA	DOWN_pEhEx_UP_EhMyb10
EHI_157360A	33.82765399	-1.723559556	0.646541415	-2.665814621	0.007680203	0.294180775	25	24	0	98	107	1	22.41283753	21.59782702	0	57.93157417	100.4746812	0.549004017	70.58	UP_pEhEx_DOWN_EhMyb10
EHI_097930A	56.38103058	-1.650445867	0.620098501	-2.661586611	0.007777333	0.294392518	55	24	4	103	113	160	49.30824256	21.59782702	12.54342897	60.88726673	106.1087755	87.8406427	70.56	UP_pEhEx_DOWN_EhMyb10
EHI_174880A	16.70892042	-1.984390777	0.745600502	-2.661466524	0.007780108	NA	10	6	1	24	28	77	8.96513501	5.399456756	3.135857243	14.18732429	26.29243994	42.2733093	NA	UP_pEhEx_DOWN_EhMyb10
EHI_050400A	62.337564	2.15078059	0.809221218	2.657840085	0.00786432	0.294584318	11	4	94	0	4	113	9.861648511	3.599637837	294.7705809	0	3.756062849	62.03745391	70.54	DOWN_pEhEx_UP_EhMyb10
EHI_035190A	35.16885943	1.634480399	0.616813293	2.649878689	0.008052068	0.298507583	11	26	38	6	6	90	9.861648511	23.39764594	119.1625752	3.546831072	5.634094274	49.41036152	70.15	DOWN_pEhEx_UP_EhMyb10
EHI_053420A	17.05661623	-1.699923353	0.642973816	-2.643845382	0.008197009	NA	11	12	1	40	38	35	9.861648511	10.79891351	3.135857243	23.64554048	35.68259707	19.21514059	NA	UP_pEhEx_DOWN_EhMyb10
EHI_105350A	1073.126905	1.778590935	0.673979778	2.63893813	0.008316616	0.303871514	36	98	1763	64	15	1344	32.27448604	88.19112701	5528.51632	37.83286477	14.08523568	737.8613987	69.61	DOWN_pEhEx_UP_EhMyb10
EHI_118640A	19.27586692	-1.729252306	0.655808556	-2.636824864	0.008368603	NA	8	6	3	24	18	114	7.172108008	5.399456756	9.40757173	14.18732429	16.90228282	62.58645793	NA	UP_pEhEx_DOWN_EhMyb10
EHI_078180A	205.6319595	2.497956421	0.948627397	2.633232425	0.008457645	0.303871514	6	11	377	9	2	53	5.379081006	9.899004052	1182.218181	5.320246608	1.878031425	29.0972129	69.61	DOWN_pEhEx_UP_EhMyb10
EHI_048440A	54.66760364	-1.508722633	0.573925672	-2.628777045	0.008569252	0.303871514	57	22	5	129	111	111	51.10126956	19.7980081	15.67928622	76.25686804	104.2307441	60.93944587	69.61	UP_pEhEx_DOWN_EhMyb10
EHI_150970A	22.06306377	1.768431006	0.673296177	2.626527621	0.008626099	0.303871514	15	16	26	12	7	17	13.44770252	14.39855135	81.53228833	7.093662143	6.573109986	9.333068287	69.61	DOWN_pEhEx_UP_EhMyb10
EHI_109820A	11.50582165	2.009555009	0.766595154	2.621403226	0.008756862	NA	6	9	13	3	1	22	5.379081006	8.099185133	40.76614416	1.773415536	0.939015712	12.07808837	NA	DOWN_pEhEx_UP_EhMyb10
EHI_078540A	29.83908458	2.111271354	0.809005432	2.609712212	0.009061842	0.30741872	13	5	46	5	5	20	11.65467551	4.499547296	144.2494332	2.95569256	4.695078561	10.98008034	69.26	DOWN_pEhEx_UP_EhMyb10
EHI_199650A	14.95843854	-1.667150358	0.639534122	-2.60682003	0.009138738	NA	7	9	2	33	23	51	6.275594507	8.099185133	6.271714487	19.50757089	21.59736138	27.99920486	NA	UP_pEhEx_DOWN_EhMyb10
EHI_083270A	1550.092992	-1.657950511	0.644394719	-2.57288035	0.010085607	0.318885675	1538	331	108	5365	3660	1233	1378.837765	297.870031	338.6725823	3171.458117	3436.797507	676.9219528	68.11	UP_pEhEx_DOWN_EhMyb10
EHI_083410A	1550.092992	-1.657950511	0.644394719	-2.57288035	0.010085607	0.318885675	1538	331	108	5365	3660	1233	1378.837765	297.870031	338.6725823	3171.458117	3436.797507	676.9219528	68.11	UP_pEhEx_DOWN_EhMyb10
EHI_049800A	76.20987282	2.400787613	0.933498074	2.571818495	0.010116591	0.318885675	1	8	129	4	0	77	0.896513501	7.199275674	404.5255844	2.364554048	0	42.2733093	68.11	DOWN_pEhEx_UP_EhMyb10
EHI_093840A	15.75400206	-1.601089981	0.62356886	-2.567623375	0.010239834	NA	9	7	3	35	27	45	8.068621509	6.299366215	9.40757173	20.68984792	25.35342423	24.70518076	NA	UP_pEhEx_DOWN_EhMyb10
EHI_092170A	69.22427416	-1.559575291	0.607738595	-2.566194253	0.010282123	0.318885675	40	23	15	230	134	91	35.86054004	20.69791756	47.03785865	135.9618577	125.8281054	49.95936554	68.11	UP_pEhEx_DOWN_EhMyb10
EHI_027500A	886.2237359	1.504940806	0.586640757	2.565353309	0.010307079	0.318885675	44	64	1410	59	16	1364	39.44659404	57.59420539	4421.558713	34.87717221	15.0242514	748.841479	68.11	DOWN_pEhEx_UP_EhMyb10
EHI_095830A	175.4177065	-1.650038685	0.644240822	-2.561214113	0.010430705	0.318885675	94	28	58	384	304	453	84.2722691	25.19746486	181.8797201	226.9971886	285.4607765	248.6988197	68.11	UP_pEhEx_DOWN_EhMyb10
EHI_130480A	66.15723368	1.822666803	0.713759614	2.553614365	0.010661126	0.318885675	12	12	106	8	8	56	10.75816201	10.79891351	332.4008678	4.729108096	7.512125698	30.74422495	68.11	DOWN_pEhEx_UP_EhMyb10
EHI_125860A	65.81665911	2.196569476	0.860937137	2.55137034	0.010730024	0.318885675	1	8	103	3	0	113	0.896513501	7.199275674	322.9932961	1.773415536	0	62.03745391	68.11	DOWN_pEhEx_UP_EhMyb10
EHI_022930A	341.7010442	2.174828057	0.855809469	2.541252621	0.011045608	0.324247981	2	10	595	6	1	308	1.793027002	8.999094593	1865.83506	3.546831072	0.939015712	169.0932372	67.58	DOWN_pEhEx_UP_EhMyb10
EHI_107170A	191.4275959	1.98129292	0.781027963	2.536775909	0.011187854	0.324447776	208	748	10	355	45	10	186.4748082	673.1322755	31.35857243	209.8541717	42.25570705	5.490040169	67.56	DOWN_pEhEx_UP_EhMyb10
EHI_056490A	28253.60967	1.61670828	0.641251216	2.521177723	0.011696276	0.324653542	5362	7433	44212	4513	4270	23143	4807.105392	6689.027011	138642.5204	2667.808104	4009.597091	12705.59996	67.53	DOWN_pEhEx_UP_EhMyb10
EHI_101290A	63.31635993	1.530687899	0.607643471	2.519055948	0.011766996	0.324653542	8	18	77	6	3	198	7.172108008	16.19837027	241.4610077	3.546831072	2.817047137	108.7027953	67.53	DOWN_pEhEx_UP_EhMyb10
EHI_068710A	42.40273213	1.715620072	0.683579595	2.509759046	0.012081357	0.324653542	6	18	51	5	2	124	5.379081006	16.19837027	159.9287194	2.95569256	1.878031425	68.07649809	67.53	DOWN_pEhEx_UP_EhMyb10
EHI_106680A	16.95917713	1.539260255	0.613606073	2.508547946	0.012122851	NA	21	39	7	19	8	13	18.82678352	35.09646891	21.9510007	11.23163173	7.512125698	7.13705222	NA	DOWN_pEhEx_UP_EhMyb10
EHI_179910A	22.9398656	1.874132402	0.750186748	2.498221151	0.01248183	0.324653542	5	16	27	5	1	55	4.482567505	14.39855135	84.66814557	2.95569256	0.939015712	30.19522093	67.53	DOWN_pEhEx_UP_EhMyb10
EHI_086080A	208.7764861	-1.607769005	0.644286113	-2.495427066	0.012580561	0.324653542	209	59	21	372	576	338	187.3713217	53.0946581	65.85300211	219.9035264	540.8730503	185.5633577	67.53	UP_pEhEx_DOWN_EhMyb10
EHI_059670A	128.7948076	1.541733929	0.620457066	2.484835796	0.01296112	0.324653542	193	310	22	154	163	14	173.0271057	278.9719324	68.98885935	91.03533084	153.0595611	7.686056236	67.53	DOWN_pEhEx_UP_EhMyb10
EHI_089770A	30.48208669	-5.852493225	2.360246164	-2.479611371	0.013152565	0.324653542	0	0	30	51	35	47	0	0	94.0757173	30.14806411	32.86554993	25.80318879	67.53	UP_pEhEx_DOWN_EhMyb10
EHI_142710A	80.70379645	-1.730166321	0.698970782	-2.475305641	0.01331222	0.324653542	106	44	1	259	134	123	95.03043111	39.59601621	3.135857243	153.1048746	125.8281054	67.52749408	67.53	UP_pEhEx_DOWN_EhMyb10
EHI_054490A	1026.619463	1.536810414	0.622425483	2.46906731	0.013546573	0.325158828	37	57	1677	54	14	1405	33.17099954	51.29483918	5258.832597	31.92147965	13.14621997	771.3506437	67.48	DOWN_pEhEx_UP_EhMyb10
EHI_017570A	18.45083705	1.920984883	0.778720678	2.466847148	0.013630853	NA	5	16	20	4	1	47	4.482567505	14.39855135	62.71714487	2.364554048	0.939015712	25.80318879	NA	DOWN_pEhEx_UP_EhMyb10
EHI_007300A	16.69340476	1.7511073	0.711792417	2.460137614	0.013888375	NA	8	10	21	8	2	21	7.172108008	8.999094593	65.85300211	4.729108096	1.878031425	11.52908435	NA	DOWN_pEhEx_UP_EhMyb10
EHI_194240A	2364.390531	1.891508481	0.774143878	2.443355215	0.014551407	0.33429763	22	41	4283	28	18	1212	19.72329702	36.89628783	13430.87657	16.55187833	16.90228282	665.3928685	66.57	DOWN_pEhEx_UP_EhMyb10
EHI_160910A	26.55715403	-1.84745541	0.759967759	-2.430965509	0.015058648	0.340571686	17	3	6	44	59	75	15.24072952	2.699728378	18.81514346	26.01009453	55.40192702	41.17530127	65.94	UP_pEhEx_DOWN_EhMyb10
