"","Trophozoites","Cyst_8h","Cyst_24h","Cyst_48h","Cyst_72h","Excyst_2h","Excyst_8h"
"EIN_424210",4.93404464711225,10.6147374464348,12.2359483958498,10.0600338691522,5.77873424411784,2.82374936030827,1.06350294230616
"EIN_461630",3.18903382439002,0.356143810225275,6.55382125653269,4.84297883178833,7.17462612994241,3.61235249875266,1.4594316186373
"EIN_061000",0.238786859587117,1.41683974191283,4.74523733212975,0,3.04439411935845,1.25701061820602,1.34482849699744
"EIN_284970",8.86777294029372,4.45154083301783,0.669026765509631,0.310340120612151,2.02856915219677,6.76075320806299,6.19790469702582
"EIN_097010",0.150559676575381,1.62293035092018,0.298658315564515,1.09085343045111,0,1.24488705912353,1.15704371014558
"EIN_496860",2.67129337248158,4.14649230697719,5.50811168119346,2.34198574722862,0.933572638261024,1.23266075679027,0.985500430304885
"EIN_369710",0.097610796626422,0.669026765509631,4.19298316997399,1.70929063572336,0.176322772640463,4.73930807086039,1.10433665981474
"EIN_082550",4,3.14567745519564,2.69376571221778,7.07081863753328,2.19849415363908,3.42088657497553,2.60169651648096
"EIN_021160",7.2112069285929,6.5765221379205,6.34908214639109,5.99004721957379,4.69543711040537,6.34978987024187,4.26978123827438
"EIN_023210",1.33342373372519,5.98936611402606,6.5022351148568,3.70708299177171,4.28243980500639,1.56071495447448,0.0565835283663675
"EIN_468220",12.377825985135,12.6581088120628,11.6906571638708,10.3747026183419,9.32966181492899,8.94479989368428,5.33664044640873
"EIN_274510",2.73552217729654,3.46336088581666,3.03562390973072,0,0.0426443374084934,0.298658315564515,0.584962500721156
"EIN_391480",5.29902480738432,4.8801957289431,6.81915722367497,6.47686768893309,6.32084566764572,4.44956137461324,1.16992500144231
"EIN_369520",0.0426443374084934,0.22650852980868,5.08703845676695,4.11270013274936,4.46074256378964,5.43429461795993,3.37295209791183
"EIN_175520",7.05278538961759,5.06177619758669,5.24260250592898,4.05571626351254,3.87970576628229,4.78972925137577,4.4154882710497
"EIN_453940",1.48542682717024,0.16349873228288,1.43829285157915,0,0,0.84799690655495,2.21101219348551
"EIN_093520",0.910732661902913,3.98641093525204,0.0703893278913977,2.86393845042397,0,1.6915341649192,2.27202318906105
"EIN_228310",4.40394936423287,4.50016467949217,4.74254523386605,2.92029330021101,4.82832692641482,4.31759350462347,3.57893871309339
"EIN_083680",3.47118746038699,4.75702324650746,5.11144869848767,5.98572811041913,5.29975751183932,4.0574502721839,1.0496307677246
"EIN_129500",12.0703222367183,11.9422542396187,9.90172673592864,10.0141739403476,9.99727829228254,9.058478854594,4.41345868800798
"EIN_059360",5.61765111942733,7.20133980368161,6.83162393682075,4.64846544302731,6.56529252058102,4.74685018309805,0.978195629681652
"EIN_117910",6.58751501381819,8.25757641795478,6.9205315062779,3.43295940727611,4.89384755813292,6.61882595258744,2.799087306074
"EIN_248100",6.36474750602229,6.90388184573618,6.48655349262453,2.38956681176273,5.02458563827827,3.38128337250378,0.526068811667588
"EIN_327940",5.22380865860602,5.22071689199892,5.44393811501318,5.71479501111816,4.49185309632967,5.14689956034359,4.01077983875324
"EIN_275230",2.62293035092018,1.22032995487956,8.33704203166975,5.1197711619529,5.25964912064916,3.78135971352466,2.95419631038688
"EIN_261570",1.16992500144231,3.46205231879643,2.95977015521147,0,0,1.54101915313356,0.650764559116902
"EIN_386100",6.10286805425111,5.09127669436522,5.91169158187234,0,2.19849415363908,3.10768786931437,1.0071955014042
"EIN_059640",5.97452931248388,6.8972404255748,6.53807250273785,5.98777561614291,3.63691458035588,7.90779199835005,9.89352906733937
"EIN_403300",6.16390121381454,4.73443866613717,2.93545974780529,5.19731499947382,0.214124805352848,2.82171021503467,0.584962500721156
"EIN_223290",7.3562318626554,6.39968380899701,6.73633427697511,6.49153246180432,6.43929068104202,6.4432751117658,3.76871365703048
"EIN_054570",11.4437723927637,10.8988507578694,10.6513387661059,10.0218405781282,10.6643761702856,10.0044171202036,8.92896244083598
"EIN_171040",3.18586654531133,4.10265813136374,4.56071495447448,5.72082566608984,7.38775886906104,6.01368556992865,3.72900887033786
"EIN_186800",7.8662280010348,7.45277661675632,7.55066983959582,8.36032037692715,7.81985974678364,8.46691256402231,7.57531233068744
"EIN_065890",7.47913353307985,6.75301612873584,3.83086375675176,1.63226821549951,0.55581615506164,6.70846316507212,11.204185966617
"EIN_226130",2.4541758931858,5.12639473762014,5.73254056130812,4.49633451341711,0.0703893278913977,3.16349873228288,2.62058641045188
"EIN_092220",11.4901037703285,11.5520878682643,9.25214502235591,6.81685566236649,7.02624677264819,7.45664189864216,6.22110372536788
"EIN_231040",6.18348651445939,6.34340782229781,4.7839804136838,5.12101540096137,3.98185265328974,5.94789988624827,3.37573453858316
"EIN_409670",0.0565835283663675,0.659924558402378,6.08937102807684,0.713695814843359,3.53106949272595,5.07852444538908,2.18586654531133
"EIN_153430",10.8343762366799,10.7498945612379,9.04971243972445,8.91073266190291,6.97750890454014,9.17342729734862,7.70092515883047
"EIN_381500",3.4541758931858,2.77399632511117,5.11478344724985,2.31614574229336,0.895302621333307,2.16027483140859,1.58976348698498
"EIN_411070",8.00854067170295,7.39145842004967,7.02547181462118,6.05831649559082,1.61823865559545,7.02425318176317,4.69821847822441
