Gene ID,Trophs,cyst 8h,cyst 24h,cyst 48h,cyst 72h,excyst 2h,excyst 8h
EIN_129500,4301.6,3936.29,957.57,1035.11,1023.07,534.18,22.31
EIN_135020,1250.11,1148.41,1103.42,310.98,505.01,187.94,23.83
EIN_143900,151.19,391.15,549.57,439.61,1031.4,227.79,11.51
EIN_145900,15.79,12.16,127.81,127.4,187.85,68.25,8.6
EIN_152450,163.54,119.86,190.17,78.61,50.51,41.02,16.18
EIN_153430,1826.88,1723.03,530.95,482.28,127.02,578.4,209.07
EIN_155450,20.71,26.33,111.35,40.74,117.23,100.07,27.93
EIN_162170,27.29,26.25,4497.39,2991.71,408.15,120.98,39.98
EIN_171040,10.1,18.18,24.6,53.74,168.47,65.61,14.26
EIN_173710,319.06,297.26,371.99,1024.51,366,628.92,347.3
EIN_175520,133.77,34.4,38.86,17.63,15.72,28.66,22.34
EIN_175860,2.33,2.1,4.5,84.95,10.05,12.7,12.63
EIN_176430,28.67,7.29,7.74,23.72,14.56,11.72,9.67
EIN_181480,3.23,2.24,3.38,2,2.14,2.69,2.11
EIN_184550,21667.09,12120.83,10403.41,2807.6,712.85,1617.5,274.76
EIN_186530,21.04,11.38,35.8,2,3.48,9.7,4.58
EIN_186800,234.33,176.19,188.49,329.63,226.95,354.83,191.72
EIN_187120,803.28,756.22,1553.93,3054.29,1267.48,154.11,47.4
EIN_215120,2,2.14,4.71,2.17,13.97,12.68,9.03
EIN_222920,136.32,108.39,48.68,24.81,12.96,83.55,26.57
EIN_223290,164.85,85.43,107.62,90.98,87.78,88.02,14.63
EIN_224250,342.26,282.06,1683.43,2499.49,1125.47,834.58,127.2
EIN_226130,6.48,35.93,54.17,23.57,2.05,9.96,7.15
EIN_228310,22.17,23.63,27.77,8.57,29.41,20.94,12.95
EIN_230150,2.3,4.76,2024.22,1192.63,1363.73,443.18,37.33
EIN_231040,73.68,82.2,28.55,35.8,16.8,62.73,11.38
EIN_248100,83.41,120.75,90.67,6.24,33.55,11.42,2.44
